trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,8,-37.74780206652706,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",25,5,-63.166839608520014,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.6440364210831414}",25,0,-51.38325155195052,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,0,-73.09863943568496,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.631283645506926}",20,0,-88.56430069639146,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.6250022682827008}",25,0,-106.9477855371298,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,8,-27.285782465726463,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.6126263941844161}",20,9,-77.98688286484307,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
50,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-127.40191836831768,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",1
51,False,"{'a': 0.5, 'e': 0.6004955788122659}",20,0,-130.21742218496732,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,10,6.033615079942914,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,5,-13.97306693186471,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5827482523739896}",25,0,-92.21570880667376,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.5769498103804866}",25,0,-64.06307050976913,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,0,-80.1420397062766,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,0,-83.40922500579785,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.559898366565402}",20,0,25.46134220667572,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
